Emotion,ovr_f1_var,ovr_accuracy_var,rakel_f1_var,rakel_accuracy_var
Anger,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.004733848569013405,0.001951874853972756
Interest,0.0,0.0,0.0060778108595877815,0.0022732420191394556
Joy,0.0,0.0,0.0021388259007306632,0.0012484420700542278
Love,0.0,0.0,0.0009204633914897157,0.0008837948838222373
None,0.0,0.0,0.0010221656420429021,0.0007719663877118431
Sadness,0.0,0.0,0.0,0.0
Surprise,0.0,0.0,0.004949168083150525,0.0018158294219473839
Overall,0.0,0.0,0.002480285305751874,0.001118143704580988
