Emotion,ovr_f1_mean,ovr_accuracy_mean,rakel_f1_mean,rakel_accuracy_mean
Anger,0.0,0.0,0.0,0.0
Fear,0.30769230769230765,0.18181818181818185,0.11410256410256411,0.06363636363636364
Interest,0.0769230769230769,0.039999999999999994,0.047843800322061196,0.0252266139657444
Joy,0.5,0.33333333333333337,0.3449417249417249,0.21038461538461534
Love,0.5454545454545453,0.375,0.5955892585135354,0.42484459387853785
None,0.4117647058823529,0.2592592592592592,0.5103334405296229,0.3437816752415003
Sadness,0.0,0.0,0.0,0.0
Surprise,0.21052631578947367,0.11764705882352941,0.16135350000203952,0.08902300872502111
Overall,0.2565451189677196,0.16338222915428796,0.22177053605144353,0.14461210885397283
